店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
はまぐり庵,050-5486-3232,,大阪府,大阪市,北区角田町8-47,阪急グランドビル28F,https://k137320.gorp.jp/,TRUE
はまぐり庵 ‐吉祥別邸‐,050-5488-8530,,大阪府,大阪市,北区芝田1-1-3,阪急三番街南館B2,https://c297912.gorp.jp/,TRUE
はまぐりや,050-5493-3970,,埼玉県,深谷市,西島町3-9-1,ビックロフト1F,https://gb27912.gorp.jp/,TRUE
酒処・焼はまぐり,050-5488-1575,,福岡県,福岡市,中央区春吉3-21-22,3F,https://fbmn900.gorp.jp/,TRUE
焼はまぐりstand LINKS UMEDA‐梅田店‐,050-5488-7521,,大阪府,大阪市,北区大深町1-1,LINKS UMEDA B1,https://kd4z701.gorp.jp/,TRUE
宴会個室・飲み放題当日可×浜焼酒場・牡蠣・蛤・帆立『天下人』,050-5486-1067,,千葉県,東金市,東金547-1,畔蒜不動産第2ビル1F,https://tenkabito.gorp.jp/,TRUE
桑名 丁子屋,0594-22-6868,,三重県,桑名市,寿町3-56-1,,https://n227600.gorp.jp/,TRUE
魚重楼,050-5487-8784,,三重県,桑名市,南魚町31,,https://nawe901.gorp.jp/,TRUE
三重人 桑名店,050-5485-1197,,三重県,桑名市,中央町1-8,,https://miejin-kuwana.gorp.jp/,TRUE
三重人 別邸,050-5487-4995,,三重県,四日市市,西新地11-2,1F,https://miejin-bettei.gorp.jp/,TRUE
三彩,050-5487-5631,,三重県,桑名市,北鍋屋町75,,https://misai-mieken.gorp.jp/,TRUE
肴×日本酒バル JINSUKE,050-5484-7138,,京都府,京都市,下京区綾小路通柳馬場西入ル綾材木町208,,https://k372002.gorp.jp/,TRUE
大曽根バル オイスターズ,050-5487-3254,,愛知県,名古屋市,北区大曽根3-14-38,FOOD FOREST OZ-ONE1F,https://ozone-oysters-bar.gorp.jp/,TRUE
個室 居酒屋 三重を喰らえ 貝ばか一代,050-5484-7944,,三重県,四日市市,諏訪栄町15-5,1F,https://n058032.gorp.jp/,TRUE
酒膳 いろは,050-5487-4590,,茨城県,潮来市,潮来98-6,,https://iroha-itako.gorp.jp/,TRUE
おまえの海鮮丼,050-5493-0606,,三重県,桑名市,北寺町59,,https://nc3b800.gorp.jp/,TRUE
一途屋,050-5493-6767,,北海道,旭川市,5条通8-1703-40,,https://h862200.gorp.jp/,TRUE
Ducale 和海,050-5492-1867,,千葉県,山武郡九十九里町,粟生2359-10,,https://ghfy700.gorp.jp/,TRUE
日本料理 翡翠,050-5487-6030,,三重県,桑名市,長島町駒江漆畑270,,https://nbpt500.gorp.jp/,TRUE
なごみや 一夜,050-5485-6001,,北海道,札幌市,中央区南4条西4,すずらんビル別館6F,https://h882700.gorp.jp/,TRUE
第二力酒蔵,050-5493-0580,,東京都,中野区,中野5-32-15,,https://dai2-chikara.gorp.jp/,TRUE
寿し割烹 かま家,050-5493-3963,,茨城県,東茨城郡大洗町,磯浜町676,,https://ghuu900.gorp.jp/,TRUE
伊勢ノ国食堂 しちり,050-5488-7624,,三重県,桑名市,大字東方字市之縄90-2,アスティ桑名,https://nbb1207.gorp.jp/,TRUE
浜茶屋 協栄,050-5493-6184,,千葉県,大網白里市,南今泉4881-78,,https://gaku300.gorp.jp/,TRUE
天正 －日本酒と天ぷら－宴会個室,050-5486-5126,,東京都,荒川区,西日暮里5-10-13,,https://tenmasa-nishinippori.gorp.jp/,TRUE
古民家食堂 もちづき,050-5484-9149,,千葉県,大網白里市,北今泉3696-36,,https://costa.gorp.jp/,TRUE
浜焼小屋 馬鹿貝（ばかがい）,050-5485-3081,,静岡県,静岡市,清水区島崎町149,2F,https://nbbc802.gorp.jp/,TRUE
焼貝 うぐいす,050-5488-0458,,東京都,台東区,根岸1-3-21,,https://ggm4700.gorp.jp/,TRUE
全席個室 OSAKANAワッショイ 天文館,050-5486-5610,,鹿児島県,鹿児島市,千日町2‐1,大保ビル2F,https://fbaj700.gorp.jp/,TRUE
焼貝あこや,050-5488-2114,,東京都,渋谷区,恵比寿南1-4-4,,https://ggm4703.gorp.jp/,TRUE
地鶏の炭火焼きと貝焼き職人 貝マニア,050-5493-8064,,岡山県,岡山市,北区平和町6-3,3F,https://ya4e401.gorp.jp/,TRUE
さかなやのmaru寿司 ルクア イーレ店,050-5485-0905,,大阪府,大阪市,北区梅田3-1-3,ルクアイーレB2,https://kcgj400.gorp.jp/,TRUE
大衆割烹 てつむら,050-5485-5544,,東京都,葛飾区,新小岩1-40-5,,https://gf2m500.gorp.jp/,TRUE
京ちゃんこ 海鮮居酒屋 江戸自慢部屋,050-5487-5104,,京都府,京都市,中京区東木屋町通四条上ル鍋屋町215,,https://kd9p200.gorp.jp/,TRUE
鮨 田なか,050-5486-9904,,兵庫県,神戸市,中央区北長狭通1-21-13,,https://kb4z700.gorp.jp/,TRUE
地魚屋台とっつぁん 福島店,050-5493-4363,,大阪府,大阪市,福島区福島7-1,OK2番街,https://k201447.gorp.jp/,TRUE
地魚屋台とっつぁん 天六店,050-5493-4456,,大阪府,大阪市,北区天神橋7-6-22,,https://k201444.gorp.jp/,TRUE
新宿産直横丁 漁港直送 大神水産,03-5285-9288,,東京都,新宿区,歌舞伎町1-27-5,歌舞伎町APMビル6F,https://gfbg060.gorp.jp/,TRUE
日本料理 佐藤,050-5486-7516,,愛知県,名古屋市,中区錦3-17-1,第5錦ビル2F,https://naf0200.gorp.jp/,TRUE
寿司 すみもと,050-5487-2188,,愛媛県,松山市,二番町2-5-21,,https://s466400.gorp.jp/,TRUE
本店浜作,050-5493-7337,,東京都,中央区,銀座7-7-4,,https://a030100.gorp.jp/,TRUE
寿し割烹 魚市,050-5488-8694,,大阪府,大阪市,阿倍野区阿倍野筋1-5-31,きんえいアポロビルB2,https://kdps500.gorp.jp/,TRUE
磯浜,050-5485-5711,,兵庫県,西宮市,甲風園1-6-6,,https://k949125.gorp.jp/,TRUE
